iter	Passed	Remaining
0	7	2802
1	12	2463
2	17	2322
3	23	2326
4	28	2265
5	33	2212
6	40	2251
7	45	2224
8	50	2190
9	56	2204
10	61	2189
11	67	2178
12	72	2153
13	77	2123
14	81	2096
15	87	2094
16	92	2074
17	96	2053
18	103	2068
19	108	2053
20	112	2038
21	119	2049
22	123	2032
23	129	2021
24	134	2020
25	139	2011
26	144	1994
27	150	2005
28	155	1990
29	160	1975
30	165	1974
31	170	1961
32	174	1945
33	180	1940
34	184	1926
35	189	1916
36	194	1906
37	199	1902
38	204	1889
39	208	1880
40	215	1883
41	219	1873
42	224	1863
43	230	1862
44	236	1863
45	240	1854
46	247	1857
47	251	1845
48	256	1835
49	261	1833
50	266	1826
51	272	1822
52	278	1824
53	283	1816
54	288	1807
55	294	1806
56	298	1797
57	303	1789
58	309	1791
59	315	1785
60	319	1775
61	325	1772
62	330	1769
63	336	1764
64	341	1762
65	348	1762
66	353	1758
67	359	1756
68	364	1749
69	369	1742
70	375	1740
71	380	1732
72	384	1723
73	390	1721
74	395	1713
75	401	1710
76	407	1709
77	412	1702
78	417	1697
79	423	1694
80	428	1687
81	433	1679
82	438	1675
83	443	1668
84	447	1660
85	452	1653
86	459	1651
87	463	1643
88	469	1642
89	475	1636
90	526	1787
91	544	1822
92	567	1874
93	573	1867
94	579	1859
95	590	1868
96	600	1876
97	606	1869
98	611	1859
99	617	1852
100	621	1840
101	626	1830
102	631	1819
103	636	1812
104	641	1802
105	646	1792
106	652	1785
107	657	1776
108	661	1766
109	666	1758
110	672	1751
111	677	1741
112	684	1737
113	689	1728
114	694	1720
115	700	1715
116	705	1706
117	710	1697
118	716	1691
119	720	1682
120	725	1672
121	731	1667
122	736	1658
123	741	1650
124	747	1644
125	752	1635
126	757	1627
127	763	1621
128	768	1615
129	773	1606
130	779	1600
131	783	1591
132	788	1582
133	793	1574
134	798	1566
135	802	1558
136	807	1550
137	812	1542
138	817	1534
139	821	1526
140	827	1520
141	832	1512
142	837	1504
143	843	1499
144	847	1491
145	852	1482
146	857	1475
147	863	1470
148	868	1463
149	873	1455
150	878	1448
151	883	1441
152	888	1434
153	893	1427
154	898	1419
155	902	1412
156	908	1406
157	913	1398
158	917	1391
159	923	1385
160	928	1377
161	932	1370
162	937	1363
163	942	1356
164	947	1349
165	952	1342
166	957	1335
167	962	1328
168	966	1321
169	974	1318
170	979	1312
171	984	1305
172	991	1301
173	998	1296
174	1004	1291
175	1009	1284
176	1013	1277
177	1019	1271
178	1024	1264
179	1029	1257
180	1034	1251
181	1039	1245
182	1044	1238
183	1049	1232
184	1054	1225
185	1059	1218
186	1063	1211
187	1069	1206
188	1074	1200
189	1079	1193
190	1085	1188
191	1090	1181
192	1095	1175
193	1101	1169
194	1105	1162
195	1110	1155
196	1116	1150
197	1121	1144
198	1126	1137
199	1131	1131
200	1136	1125
201	1141	1119
202	1147	1113
203	1152	1107
204	1157	1100
205	1162	1094
206	1167	1088
207	1172	1081
208	1177	1076
209	1183	1070
210	1187	1063
211	1192	1057
212	1198	1051
213	1202	1045
214	1207	1038
215	1213	1033
216	1218	1027
217	1222	1020
218	1228	1015
219	1232	1008
220	1237	1002
221	1242	996
222	1246	989
223	1251	983
224	1256	977
225	1262	971
226	1267	965
227	1272	959
228	1277	954
229	1283	948
230	1287	942
231	1293	936
232	1298	930
233	1302	924
234	1308	918
235	1313	912
236	1317	906
237	1322	900
238	1328	894
239	1333	888
240	1338	882
241	1343	877
242	1347	870
243	1352	864
244	1358	859
245	1362	853
246	1367	846
247	1372	841
248	1377	835
249	1381	829
250	1386	823
251	1393	818
252	1397	812
253	1402	806
254	1407	800
255	1412	794
256	1417	788
257	1422	783
258	1427	777
259	1432	771
260	1438	765
261	1442	759
262	1447	754
263	1453	748
264	1457	742
265	1462	736
266	1467	731
267	1472	725
268	1476	719
269	1481	713
270	1486	707
271	1492	702
272	1496	696
273	1502	691
274	1507	685
275	1512	679
276	1517	673
277	1522	668
278	1526	662
279	1532	656
280	1537	651
281	1542	645
282	1547	639
283	1552	634
284	1556	628
285	1561	622
286	1567	616
287	1571	611
288	1576	605
289	1581	599
290	1587	594
291	1591	588
292	1597	583
293	1602	577
294	1606	571
295	1611	566
296	1617	560
297	1621	555
298	1627	549
299	1632	544
300	1638	538
301	1643	533
302	1648	527
303	1653	522
304	1658	516
305	1663	511
306	1668	505
307	1672	499
308	1678	494
309	1683	488
310	1687	483
311	1693	477
312	1700	472
313	1704	466
314	1710	461
315	1715	455
316	1719	450
317	1725	444
318	1730	439
319	1735	433
320	1740	428
321	1745	422
322	1750	417
323	1756	411
324	1761	406
325	1766	400
326	1773	395
327	1778	390
328	1783	384
329	1788	379
330	1793	373
331	1797	368
332	1802	362
333	1808	357
334	1813	351
335	1818	346
336	1823	340
337	1828	335
338	1832	329
339	1839	324
340	1843	319
341	1849	313
342	1854	308
343	1859	302
344	1864	297
345	1870	291
346	1875	286
347	1879	280
348	1885	275
349	1890	270
350	1895	264
351	1901	259
352	1907	253
353	1911	248
354	1917	243
355	1921	237
356	1926	232
357	1931	226
358	1936	221
359	1941	215
360	1947	210
361	1952	204
362	1957	199
363	1961	194
364	1967	188
365	1972	183
366	1976	177
367	1982	172
368	1987	166
369	1991	161
370	1997	156
371	2003	150
372	2007	145
373	2013	139
374	2019	134
375	2024	129
376	2030	123
377	2036	118
378	2042	113
379	2048	107
380	2052	102
381	2057	96
382	2063	91
383	2068	86
384	2073	80
385	2079	75
386	2084	70
387	2090	64
388	2096	59
389	2101	53
390	2108	48
391	2116	43
392	2122	37
393	2130	32
394	2136	27
395	2143	21
396	2148	16
397	2153	10
398	2160	5
399	2165	0
